entities.name,countries.name,entities.short_name,European_Political_Group,spend
Stabilitātei!,Latvia,S!,uncertain,1055
Liberalų sąjūdis,Lithuania,LRLS,RE,1038
ВМРО – Българско национално движение,Bulgaria,ВМРО,ECR,987
Others,Malta,Oth,NA,941
Nacionālā apvienība,Latvia,NA,NA,841
A Nép Pártján,Hungary,ANP,uncertain,817.5882668775424
CSU,Germany,CSU,EPP,761
Lietuvos žaliųjų partija,Lithuania,LZP,Greens/EFA,719
MSZP,Hungary,MSZP,S&D,691.155710217662
Socialistische Partij,Netherlands,SP,GUE/NGL,687
Alternativet,Denmark,Alt,Greens/EFA,675.7359882201831
Volt Italia,Italy,Vol,RE,668
l'Unie,Belgium,l'Unie,uncertain,666
Civic Democratic Party,Hungary,Civ,uncertain,656.4592936476278
Attīstībai/Par!,Latvia,Par!,RE,621
Anderes/Autres,Luxembourg,OTHER,NA,616
Vlada,Croatia,Vlada,uncertain,563
Parempoolsed,Estonia,Par,uncertain,560
Právo Respekt Odbornost,Czechia,PRO,uncertain,559.7555516709193
EH Bildu,Spain,EHB,GUE/NGL,505
Independent,Cyprus,IND,uncertain,408
GroenLinks,Netherlands,GL,Greens/EFA,365
Bezpartyjni Samorządowcy,Poland,BS,uncertain,364.344554329724
Partido Social Democrata,Portugal,PSD,S&D,355
Progresīvie,Latvia,Prog,GUE/NGL,301
Azione,Italy,Az,RE,256
Blanco,Belgium,PB,uncertain,254
Vláda,Slovakia,Vlá,uncertain,237
Vox,Spain,VOX,ECR,201
ProRomania,Romania,PRO,uncertain,190.47299755632184
GOV,Luxembourg,GOV,NA,187
Проруски/националистически медии,Bulgaria,Проруски/националистически медии,uncertain,184
Darbo partija,Lithuania,DP,NA,183
Inne komitety wyborcze,Poland,InnyKW,uncertain,182.87293976934225
Autres,France,AUT,uncertain,143
Piraten,Germany,PIR,NA,142
Europe Écologie les Verts,France,EELV,Greens/EFA,110
Движение за права и свободи,Bulgaria,ДПС,RE,108
Kristendemokraterne,Denmark,Kri,EPP,47.85513743197885
KDNP,Hungary,KDNP,EPP,13.659539861697034
Parti Communiste,France,PCF,GUE/NGL,3
Partido Socialista,Portugal,PS,RE,3
Slovenská národná strana,Slovakia,SNS,ID,3
Rassemblement National,France,RN,ID,2
Bündnis Sahra Wagenknecht,Germany,BSW,uncertain,1.9258876816208543
50Plus,Netherlands,50Plus,uncertain,1
Bloco de Esquerda,Portugal,B.E.,GUE/NGL,1
BoerBurgerBeweging,Netherlands,BBB,uncertain,1
DENK,Netherlands,DENK,uncertain,1
Die PARTEI,Germany,PAR,uncertain,1
Government,Estonia,GOV,uncertain,1
Nova Slovenija - Krščanski demokrati,Slovenia,NSi,EPP,1
Partij voor de Vrijheid,Netherlands,PVV,ID,1
Pro Deutschsprachige Gemeinschaft,Belgium,ProDG,uncertain,1
Socijaldemokrati,Croatia,SD,S&D,1
Vlada,Slovenia,Vla,uncertain,1
Volt Deutschland,Germany,VOL,uncertain,1
Zieloni – Wolny Sojusz Europejski,Poland,G/EFA,Greens/EFA,0.23355420149341283
ALDE,Romania,ALDE,RE,0
ANEL,Greece,ANEL,uncertain,0
Akcja Wyborcza,Lithuania,LLRA,EPP,0
Ara més,Spain,Més,RE,0
Belang Van Nederland,Netherlands,BVNL,uncertain,0
BiJ1,Netherlands,BiJ,uncertain,0
CDS – Partido Popular,Portugal,CDSPP,EPP,0
CHEGA,Portugal,CH,ID,0
Ciudadanos,Spain,CS,RE,0
EK,Greece,EK,uncertain,0
ELAM,Cyprus,ELAM,ID,0
FORO Asturias,Spain,FORO,EPP,0
Frie Grønne,Denmark,Grø,Greens/EFA,0
GOV,Greece,GOV,NA,0
"HDZ, HSLS, HDS, HNS, HSU",Croatia,HDZ et al,EPP,0
Horizons,France,Hor,RE,0
Hrvatska narodna stranka,Croatia,HNS,RE,0
Influence étrangère,France,Inf,uncertain,0
Iniciativa Liberal,Portugal,IL,RE,0
Interesantes,Spain,INT,uncertain,0
KINAL,Greece,KINAL,S&D,0
Kitos politinės partijos,Lithuania,Kitos,uncertain,0
Korjausliike,Finland,KOR,uncertain,0
LIVRE,Portugal,L,uncertain,0
La France Insoumise,France,FI,GUE/NGL,0
Latvijas Krievu savienība,Latvia,LKS,uncertain,0
Les Républicains,France,LR,EPP,0
Lietuvos sąrašas,Lithuania,LS,uncertain,0
"MOST, Hrvatski suverenisti, HKS, NLM",Croatia,MOST et al,uncertain,0
Modrí,Slovakia,Mod,ECR,0
Mouvement Démocrate,France,MODEM,RE,0
NC-BC,Spain,NC-BC,RE,0
Outros,Portugal,Out,uncertain,0
PDeCAT,Spain,PDeCAT,RE,0
POT,Greece,POT,uncertain,0
Parti Socialiste,France,PS,S&D,0
Parti de gauche,France,PG,GUE/NGL,0
Partido Comunista Português,Portugal,PCP,GUE/NGL,0
Pessoas-Animais-Natureza,Portugal,PAN,Greens/EFA,0
Piratepartei Lëtzebuerg,Luxembourg,PIR,NA,0
Přísaha,Czechia,PRI,uncertain,0
Regionalna. Mniejszość z Większością,Poland,MN,uncertain,0
Renaissance,France,Ren,RE,0
